Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011351 | lrm: 1.00 | dt: 9210ms | tok/sec: 14,230 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.863148 | lrm: 1.00 | dt: 133ms | tok/sec: 982,477 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.501582 | lrm: 1.00 | dt: 138ms | tok/sec: 951,595 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046033 | lrm: 1.00 | dt: 137ms | tok/sec: 954,790 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.699054 | lrm: 1.00 | dt: 137ms | tok/sec: 954,904 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.387777 | lrm: 1.00 | dt: 138ms | tok/sec: 946,668 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.141041 | lrm: 1.00 | dt: 138ms | tok/sec: 950,938 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.934986 | lrm: 1.00 | dt: 152ms | tok/sec: 863,491 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.760535 | lrm: 1.00 | dt: 147ms | tok/sec: 894,623 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.614795 | lrm: 1.00 | dt: 139ms | tok/sec: 940,428 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.488588 | lrm: 1.00 | dt: 139ms | tok/sec: 943,019 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.376375 | lrm: 1.00 | dt: 139ms | tok/sec: 945,019 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.283499 | lrm: 1.00 | dt: 137ms | tok/sec: 956,388 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.201510 | lrm: 1.00 | dt: 139ms | tok/sec: 945,504 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.126954 | lrm: 1.00 | dt: 149ms | tok/sec: 878,885 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.066200 | lrm: 1.00 | dt: 147ms | tok/sec: 893,810 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.012442 | lrm: 1.00 | dt: 141ms | tok/sec: 928,396 | mfu: 41.7% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.958677 | lrm: 1.00 | dt: 140ms | tok/sec: 935,294 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.911265 | lrm: 1.00 | dt: 140ms | tok/sec: 938,506 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.868487 | lrm: 1.00 | dt: 139ms | tok/sec: 944,795 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.832219 | lrm: 1.00 | dt: 143ms | tok/sec: 916,215 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.798466 | lrm: 1.00 | dt: 147ms | tok/sec: 892,257 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.765642 | lrm: 1.00 | dt: 145ms | tok/sec: 906,786 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.733804 | lrm: 1.00 | dt: 143ms | tok/sec: 917,288 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.705239 | lrm: 1.00 | dt: 140ms | tok/sec: 935,725 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.670679 | lrm: 1.00 | dt: 139ms | tok/sec: 940,108 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.643329 | lrm: 1.00 | dt: 139ms | tok/sec: 943,796 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.620178 | lrm: 1.00 | dt: 142ms | tok/sec: 922,769 | mfu: 41.4% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.598297 | lrm: 1.00 | dt: 146ms | tok/sec: 897,374 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.573578 | lrm: 1.00 | dt: 144ms | tok/sec: 908,510 | mfu: 40.8% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.549764 | lrm: 1.00 | dt: 142ms | tok/sec: 922,365 | mfu: 41.4% | epoch: 1 | remaining: 297s    
