Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9366ms | tok/sec: 13,994 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180243 | lrm: 1.00 | dt: 133ms | tok/sec: 988,773 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.961825 | lrm: 1.00 | dt: 134ms | tok/sec: 979,717 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.851402 | lrm: 1.00 | dt: 134ms | tok/sec: 976,141 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.595114 | lrm: 1.00 | dt: 134ms | tok/sec: 978,251 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.311535 | lrm: 1.00 | dt: 134ms | tok/sec: 976,252 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.119176 | lrm: 1.00 | dt: 135ms | tok/sec: 968,207 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.917881 | lrm: 1.00 | dt: 158ms | tok/sec: 827,749 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.720365 | lrm: 1.00 | dt: 147ms | tok/sec: 893,689 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.532537 | lrm: 1.00 | dt: 140ms | tok/sec: 938,939 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.355054 | lrm: 1.00 | dt: 137ms | tok/sec: 957,822 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.189984 | lrm: 1.00 | dt: 136ms | tok/sec: 962,179 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.038793 | lrm: 1.00 | dt: 137ms | tok/sec: 955,497 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.899476 | lrm: 1.00 | dt: 138ms | tok/sec: 946,859 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.770559 | lrm: 1.00 | dt: 149ms | tok/sec: 880,044 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.657023 | lrm: 1.00 | dt: 148ms | tok/sec: 885,059 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.555383 | lrm: 1.00 | dt: 142ms | tok/sec: 925,022 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.457193 | lrm: 1.00 | dt: 138ms | tok/sec: 950,443 | mfu: 41.2% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.370388 | lrm: 1.00 | dt: 138ms | tok/sec: 951,470 | mfu: 41.2% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.292102 | lrm: 1.00 | dt: 137ms | tok/sec: 954,442 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.224088 | lrm: 1.00 | dt: 141ms | tok/sec: 931,798 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.160215 | lrm: 1.00 | dt: 147ms | tok/sec: 888,639 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.100916 | lrm: 1.00 | dt: 147ms | tok/sec: 892,143 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.044609 | lrm: 1.00 | dt: 141ms | tok/sec: 930,241 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.995555 | lrm: 1.00 | dt: 137ms | tok/sec: 953,786 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.942808 | lrm: 1.00 | dt: 138ms | tok/sec: 947,310 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.900642 | lrm: 1.00 | dt: 138ms | tok/sec: 948,118 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.863707 | lrm: 1.00 | dt: 139ms | tok/sec: 939,785 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.829835 | lrm: 1.00 | dt: 143ms | tok/sec: 917,088 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.793756 | lrm: 1.00 | dt: 145ms | tok/sec: 902,458 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.760381 | lrm: 1.00 | dt: 144ms | tok/sec: 909,837 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.729154 | lrm: 1.00 | dt: 140ms | tok/sec: 937,457 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.698438 | lrm: 1.00 | dt: 138ms | tok/sec: 949,923 | mfu: 41.1% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.673201 | lrm: 1.00 | dt: 138ms | tok/sec: 949,101 | mfu: 41.1% | epoch: 1 | remaining: 297s    
