Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9495ms | tok/sec: 13,803 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180576 | lrm: 1.00 | dt: 134ms | tok/sec: 976,019 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.974726 | lrm: 1.00 | dt: 135ms | tok/sec: 968,701 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.881835 | lrm: 1.00 | dt: 136ms | tok/sec: 964,651 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.609652 | lrm: 1.00 | dt: 135ms | tok/sec: 968,290 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.307477 | lrm: 1.00 | dt: 137ms | tok/sec: 955,283 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.074617 | lrm: 1.00 | dt: 138ms | tok/sec: 952,561 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.864519 | lrm: 1.00 | dt: 155ms | tok/sec: 844,516 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.670553 | lrm: 1.00 | dt: 143ms | tok/sec: 918,005 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.482877 | lrm: 1.00 | dt: 139ms | tok/sec: 942,851 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.304862 | lrm: 1.00 | dt: 137ms | tok/sec: 953,692 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.141034 | lrm: 1.00 | dt: 137ms | tok/sec: 958,129 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.992107 | lrm: 1.00 | dt: 137ms | tok/sec: 959,960 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.855751 | lrm: 1.00 | dt: 141ms | tok/sec: 930,505 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.729979 | lrm: 1.00 | dt: 148ms | tok/sec: 883,229 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.619658 | lrm: 1.00 | dt: 146ms | tok/sec: 899,605 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.520872 | lrm: 1.00 | dt: 140ms | tok/sec: 936,518 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.425269 | lrm: 1.00 | dt: 139ms | tok/sec: 942,754 | mfu: 40.8% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.340450 | lrm: 1.00 | dt: 138ms | tok/sec: 953,010 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.263853 | lrm: 1.00 | dt: 138ms | tok/sec: 948,682 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.196965 | lrm: 1.00 | dt: 142ms | tok/sec: 923,233 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.134933 | lrm: 1.00 | dt: 145ms | tok/sec: 902,529 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.077471 | lrm: 1.00 | dt: 145ms | tok/sec: 903,451 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.022850 | lrm: 1.00 | dt: 141ms | tok/sec: 930,461 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.975535 | lrm: 1.00 | dt: 138ms | tok/sec: 949,669 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.925190 | lrm: 1.00 | dt: 138ms | tok/sec: 952,507 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.886734 | lrm: 1.00 | dt: 138ms | tok/sec: 948,131 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.851287 | lrm: 1.00 | dt: 142ms | tok/sec: 921,325 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.818183 | lrm: 1.00 | dt: 144ms | tok/sec: 909,148 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.783511 | lrm: 1.00 | dt: 143ms | tok/sec: 913,510 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.751749 | lrm: 1.00 | dt: 141ms | tok/sec: 928,019 | mfu: 40.2% | epoch: 1 | remaining: 297s    
