Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 19529ms | tok/sec: 6,711 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180274 | lrm: 1.00 | dt: 134ms | tok/sec: 980,105 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.963133 | lrm: 1.00 | dt: 137ms | tok/sec: 958,041 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.857966 | lrm: 1.00 | dt: 138ms | tok/sec: 951,294 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.600453 | lrm: 1.00 | dt: 137ms | tok/sec: 960,161 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.314832 | lrm: 1.00 | dt: 137ms | tok/sec: 957,622 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.120442 | lrm: 1.00 | dt: 137ms | tok/sec: 958,201 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.918091 | lrm: 1.00 | dt: 152ms | tok/sec: 859,803 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.719704 | lrm: 1.00 | dt: 144ms | tok/sec: 909,950 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.531400 | lrm: 1.00 | dt: 140ms | tok/sec: 932,931 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.353461 | lrm: 1.00 | dt: 139ms | tok/sec: 939,832 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.188011 | lrm: 1.00 | dt: 137ms | tok/sec: 953,706 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.036578 | lrm: 1.00 | dt: 137ms | tok/sec: 955,195 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.897164 | lrm: 1.00 | dt: 141ms | tok/sec: 931,317 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.768246 | lrm: 1.00 | dt: 149ms | tok/sec: 877,361 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.654760 | lrm: 1.00 | dt: 147ms | tok/sec: 894,205 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.553220 | lrm: 1.00 | dt: 142ms | tok/sec: 922,588 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.455230 | lrm: 1.00 | dt: 140ms | tok/sec: 938,590 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.368951 | lrm: 1.00 | dt: 140ms | tok/sec: 937,730 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.290827 | lrm: 1.00 | dt: 137ms | tok/sec: 953,710 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.222609 | lrm: 1.00 | dt: 141ms | tok/sec: 932,058 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.158805 | lrm: 1.00 | dt: 147ms | tok/sec: 890,802 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.099616 | lrm: 1.00 | dt: 145ms | tok/sec: 901,382 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.043454 | lrm: 1.00 | dt: 143ms | tok/sec: 915,185 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.994595 | lrm: 1.00 | dt: 140ms | tok/sec: 934,702 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.941927 | lrm: 1.00 | dt: 141ms | tok/sec: 931,497 | mfu: 41.8% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.899791 | lrm: 1.00 | dt: 139ms | tok/sec: 944,192 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.862891 | lrm: 1.00 | dt: 140ms | tok/sec: 935,434 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.829065 | lrm: 1.00 | dt: 146ms | tok/sec: 898,364 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.792977 | lrm: 1.00 | dt: 144ms | tok/sec: 908,199 | mfu: 40.8% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.759536 | lrm: 1.00 | dt: 144ms | tok/sec: 912,895 | mfu: 41.0% | epoch: 1 | remaining: 297s    
