Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 25,165,824
  lm_head                 : 4,194,304
  transformer_matrices    : 37,750,272
  scalars                 : 24
  total                   : 71,304,728
Estimated FLOPs per token: 2.964941e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 10427ms | tok/sec: 25,141 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.723163 | lrm: 1.00 | dt: 212ms | tok/sec: 1,234,472 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.234231 | lrm: 1.00 | dt: 213ms | tok/sec: 1,233,063 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.891973 | lrm: 1.00 | dt: 215ms | tok/sec: 1,217,092 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.619546 | lrm: 1.00 | dt: 216ms | tok/sec: 1,214,437 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.375303 | lrm: 1.00 | dt: 238ms | tok/sec: 1,101,205 | mfu: 33.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.165503 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,566 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.985788 | lrm: 1.00 | dt: 215ms | tok/sec: 1,218,182 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.832595 | lrm: 1.00 | dt: 216ms | tok/sec: 1,215,717 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.697596 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,952 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.583410 | lrm: 1.00 | dt: 225ms | tok/sec: 1,167,068 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.482035 | lrm: 1.00 | dt: 219ms | tok/sec: 1,199,496 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.385272 | lrm: 1.00 | dt: 217ms | tok/sec: 1,209,691 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.299105 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,819 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.220270 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,951 | mfu: 34.1% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.145207 | lrm: 1.00 | dt: 220ms | tok/sec: 1,192,402 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.076606 | lrm: 1.00 | dt: 216ms | tok/sec: 1,214,517 | mfu: 36.4% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.010405 | lrm: 1.00 | dt: 219ms | tok/sec: 1,196,822 | mfu: 35.9% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.950226 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,923 | mfu: 35.0% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.894042 | lrm: 1.00 | dt: 226ms | tok/sec: 1,162,104 | mfu: 34.8% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.839686 | lrm: 1.00 | dt: 219ms | tok/sec: 1,199,601 | mfu: 35.9% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.790143 | lrm: 1.00 | dt: 218ms | tok/sec: 1,204,017 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.745433 | lrm: 1.00 | dt: 222ms | tok/sec: 1,183,389 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.701892 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,591 | mfu: 35.0% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.660442 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,528 | mfu: 35.3% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.619100 | lrm: 1.00 | dt: 221ms | tok/sec: 1,185,730 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.579442 | lrm: 1.00 | dt: 220ms | tok/sec: 1,192,100 | mfu: 35.7% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.540984 | lrm: 1.00 | dt: 223ms | tok/sec: 1,172,936 | mfu: 35.1% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.506293 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,137 | mfu: 35.0% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.472916 | lrm: 1.00 | dt: 220ms | tok/sec: 1,191,029 | mfu: 35.7% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.437223 | lrm: 1.00 | dt: 220ms | tok/sec: 1,192,356 | mfu: 35.7% | epoch: 1 | remaining: 296s    
step 00031 (1.5%) | loss: 5.405404 | lrm: 1.00 | dt: 221ms | tok/sec: 1,183,826 | mfu: 35.5% | epoch: 1 | remaining: 295s    
step 00032 (1.5%) | loss: 5.375331 | lrm: 1.00 | dt: 225ms | tok/sec: 1,167,308 | mfu: 35.0% | epoch: 1 | remaining: 295s    
step 00033 (1.6%) | loss: 5.345798 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,362 | mfu: 35.2% | epoch: 1 | remaining: 295s    
