Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011351 | lrm: 1.00 | dt: 9289ms | tok/sec: 14,110 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.863133 | lrm: 1.00 | dt: 134ms | tok/sec: 980,951 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.501697 | lrm: 1.00 | dt: 137ms | tok/sec: 954,854 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046192 | lrm: 1.00 | dt: 136ms | tok/sec: 960,935 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.698876 | lrm: 1.00 | dt: 137ms | tok/sec: 955,831 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.387536 | lrm: 1.00 | dt: 136ms | tok/sec: 963,777 | mfu: 43.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.140745 | lrm: 1.00 | dt: 138ms | tok/sec: 952,913 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.934585 | lrm: 1.00 | dt: 154ms | tok/sec: 850,316 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.760121 | lrm: 1.00 | dt: 144ms | tok/sec: 907,223 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.614384 | lrm: 1.00 | dt: 142ms | tok/sec: 922,235 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.488217 | lrm: 1.00 | dt: 139ms | tok/sec: 939,933 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.376046 | lrm: 1.00 | dt: 140ms | tok/sec: 936,984 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.283194 | lrm: 1.00 | dt: 138ms | tok/sec: 952,014 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.201229 | lrm: 1.00 | dt: 141ms | tok/sec: 932,110 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.126705 | lrm: 1.00 | dt: 149ms | tok/sec: 880,405 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.066037 | lrm: 1.00 | dt: 147ms | tok/sec: 891,956 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.012360 | lrm: 1.00 | dt: 142ms | tok/sec: 925,114 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.958672 | lrm: 1.00 | dt: 140ms | tok/sec: 935,296 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.911339 | lrm: 1.00 | dt: 137ms | tok/sec: 954,551 | mfu: 42.9% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.868617 | lrm: 1.00 | dt: 139ms | tok/sec: 942,872 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.832434 | lrm: 1.00 | dt: 142ms | tok/sec: 924,571 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.798743 | lrm: 1.00 | dt: 145ms | tok/sec: 905,502 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.766025 | lrm: 1.00 | dt: 145ms | tok/sec: 903,235 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.734258 | lrm: 1.00 | dt: 143ms | tok/sec: 919,737 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.705769 | lrm: 1.00 | dt: 143ms | tok/sec: 916,731 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.671364 | lrm: 1.00 | dt: 139ms | tok/sec: 940,057 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.644137 | lrm: 1.00 | dt: 140ms | tok/sec: 936,850 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.621124 | lrm: 1.00 | dt: 142ms | tok/sec: 924,089 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.599362 | lrm: 1.00 | dt: 144ms | tok/sec: 907,285 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.574713 | lrm: 1.00 | dt: 143ms | tok/sec: 918,875 | mfu: 41.3% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.551034 | lrm: 1.00 | dt: 145ms | tok/sec: 906,498 | mfu: 40.7% | epoch: 1 | remaining: 297s    
