Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011349 | lrm: 1.00 | dt: 9408ms | tok/sec: 13,931 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.863194 | lrm: 1.00 | dt: 134ms | tok/sec: 975,860 | mfu: 43.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.502557 | lrm: 1.00 | dt: 138ms | tok/sec: 949,405 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.047716 | lrm: 1.00 | dt: 138ms | tok/sec: 952,132 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.696299 | lrm: 1.00 | dt: 137ms | tok/sec: 956,474 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.384642 | lrm: 1.00 | dt: 137ms | tok/sec: 959,799 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.137665 | lrm: 1.00 | dt: 138ms | tok/sec: 950,450 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.931488 | lrm: 1.00 | dt: 153ms | tok/sec: 857,868 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.757194 | lrm: 1.00 | dt: 145ms | tok/sec: 903,579 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.611588 | lrm: 1.00 | dt: 139ms | tok/sec: 943,134 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.485623 | lrm: 1.00 | dt: 139ms | tok/sec: 945,346 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.373644 | lrm: 1.00 | dt: 138ms | tok/sec: 953,053 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.280973 | lrm: 1.00 | dt: 138ms | tok/sec: 946,664 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.199121 | lrm: 1.00 | dt: 139ms | tok/sec: 940,475 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.124694 | lrm: 1.00 | dt: 150ms | tok/sec: 875,725 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.064049 | lrm: 1.00 | dt: 146ms | tok/sec: 896,803 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.010399 | lrm: 1.00 | dt: 140ms | tok/sec: 937,420 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.956716 | lrm: 1.00 | dt: 140ms | tok/sec: 934,347 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.909305 | lrm: 1.00 | dt: 140ms | tok/sec: 938,021 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.866373 | lrm: 1.00 | dt: 138ms | tok/sec: 952,712 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.829878 | lrm: 1.00 | dt: 141ms | tok/sec: 931,464 | mfu: 41.8% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.795887 | lrm: 1.00 | dt: 146ms | tok/sec: 896,474 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.762811 | lrm: 1.00 | dt: 147ms | tok/sec: 894,134 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.730691 | lrm: 1.00 | dt: 141ms | tok/sec: 930,055 | mfu: 41.8% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.701768 | lrm: 1.00 | dt: 140ms | tok/sec: 936,135 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.666774 | lrm: 1.00 | dt: 138ms | tok/sec: 948,769 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.638991 | lrm: 1.00 | dt: 138ms | tok/sec: 951,626 | mfu: 42.7% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.615467 | lrm: 1.00 | dt: 142ms | tok/sec: 925,237 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.593169 | lrm: 1.00 | dt: 145ms | tok/sec: 907,027 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.568022 | lrm: 1.00 | dt: 147ms | tok/sec: 890,207 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.543669 | lrm: 1.00 | dt: 142ms | tok/sec: 923,225 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.519266 | lrm: 1.00 | dt: 141ms | tok/sec: 931,328 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.493206 | lrm: 1.00 | dt: 139ms | tok/sec: 944,613 | mfu: 42.4% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.471910 | lrm: 1.00 | dt: 142ms | tok/sec: 926,199 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.446780 | lrm: 1.00 | dt: 141ms | tok/sec: 926,563 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.422414 | lrm: 1.00 | dt: 143ms | tok/sec: 916,465 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.401888 | lrm: 1.00 | dt: 144ms | tok/sec: 912,118 | mfu: 41.0% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.377414 | lrm: 1.00 | dt: 143ms | tok/sec: 913,996 | mfu: 41.0% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.355477 | lrm: 1.00 | dt: 141ms | tok/sec: 932,545 | mfu: 41.9% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.332750 | lrm: 1.00 | dt: 140ms | tok/sec: 938,261 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.309681 | lrm: 1.00 | dt: 139ms | tok/sec: 940,629 | mfu: 42.2% | epoch: 1 | remaining: 296s    
