Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9702ms | tok/sec: 13,509 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180242 | lrm: 1.00 | dt: 132ms | tok/sec: 992,837 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.960586 | lrm: 1.00 | dt: 135ms | tok/sec: 971,227 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.843688 | lrm: 1.00 | dt: 137ms | tok/sec: 957,684 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.577095 | lrm: 1.00 | dt: 135ms | tok/sec: 970,495 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.294786 | lrm: 1.00 | dt: 136ms | tok/sec: 960,711 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.101815 | lrm: 1.00 | dt: 135ms | tok/sec: 970,653 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.898985 | lrm: 1.00 | dt: 154ms | tok/sec: 849,518 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.712955 | lrm: 1.00 | dt: 144ms | tok/sec: 911,154 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.533996 | lrm: 1.00 | dt: 138ms | tok/sec: 950,007 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.364328 | lrm: 1.00 | dt: 137ms | tok/sec: 957,072 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.208290 | lrm: 1.00 | dt: 137ms | tok/sec: 956,582 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.064854 | lrm: 1.00 | dt: 138ms | tok/sec: 949,621 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.931722 | lrm: 1.00 | dt: 139ms | tok/sec: 940,779 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.807513 | lrm: 1.00 | dt: 150ms | tok/sec: 872,606 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.697495 | lrm: 1.00 | dt: 146ms | tok/sec: 897,951 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.598164 | lrm: 1.00 | dt: 140ms | tok/sec: 938,689 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.501101 | lrm: 1.00 | dt: 137ms | tok/sec: 956,047 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.415593 | lrm: 1.00 | dt: 137ms | tok/sec: 953,718 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.338230 | lrm: 1.00 | dt: 137ms | tok/sec: 959,076 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.269245 | lrm: 1.00 | dt: 140ms | tok/sec: 939,525 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.204275 | lrm: 1.00 | dt: 148ms | tok/sec: 884,037 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.144376 | lrm: 1.00 | dt: 144ms | tok/sec: 913,309 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.087412 | lrm: 1.00 | dt: 140ms | tok/sec: 936,124 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 6.036654 | lrm: 1.00 | dt: 137ms | tok/sec: 953,622 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.981979 | lrm: 1.00 | dt: 138ms | tok/sec: 947,377 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.937491 | lrm: 1.00 | dt: 137ms | tok/sec: 954,702 | mfu: 41.4% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.898438 | lrm: 1.00 | dt: 140ms | tok/sec: 934,409 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.862068 | lrm: 1.00 | dt: 146ms | tok/sec: 900,222 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.824433 | lrm: 1.00 | dt: 145ms | tok/sec: 906,997 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.788926 | lrm: 1.00 | dt: 142ms | tok/sec: 924,579 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.755331 | lrm: 1.00 | dt: 139ms | tok/sec: 943,553 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.722665 | lrm: 1.00 | dt: 139ms | tok/sec: 940,745 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.696356 | lrm: 1.00 | dt: 138ms | tok/sec: 949,961 | mfu: 41.1% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.665859 | lrm: 1.00 | dt: 141ms | tok/sec: 930,415 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.637671 | lrm: 1.00 | dt: 142ms | tok/sec: 922,438 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.614788 | lrm: 1.00 | dt: 142ms | tok/sec: 924,055 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.587568 | lrm: 1.00 | dt: 141ms | tok/sec: 930,835 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.562755 | lrm: 1.00 | dt: 141ms | tok/sec: 929,838 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.538287 | lrm: 1.00 | dt: 140ms | tok/sec: 933,975 | mfu: 40.5% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.514519 | lrm: 1.00 | dt: 139ms | tok/sec: 940,250 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.493070 | lrm: 1.00 | dt: 141ms | tok/sec: 929,487 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.473191 | lrm: 1.00 | dt: 142ms | tok/sec: 923,925 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.449530 | lrm: 1.00 | dt: 144ms | tok/sec: 911,563 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00044 (1.5%) | loss: 5.429264 | lrm: 1.00 | dt: 143ms | tok/sec: 919,253 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.411599 | lrm: 1.00 | dt: 140ms | tok/sec: 936,046 | mfu: 40.5% | epoch: 1 | remaining: 295s    
step 00046 (1.6%) | loss: 5.394269 | lrm: 1.00 | dt: 141ms | tok/sec: 932,894 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 5.374311 | lrm: 1.00 | dt: 140ms | tok/sec: 938,878 | mfu: 40.7% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 5.356012 | lrm: 1.00 | dt: 141ms | tok/sec: 930,256 | mfu: 40.3% | epoch: 1 | remaining: 295s    
