Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9477ms | tok/sec: 13,830 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180302 | lrm: 1.00 | dt: 133ms | tok/sec: 986,558 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.964113 | lrm: 1.00 | dt: 137ms | tok/sec: 957,150 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.861975 | lrm: 1.00 | dt: 138ms | tok/sec: 948,394 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.603160 | lrm: 1.00 | dt: 137ms | tok/sec: 959,014 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.316330 | lrm: 1.00 | dt: 137ms | tok/sec: 954,947 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.121469 | lrm: 1.00 | dt: 137ms | tok/sec: 954,587 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.918389 | lrm: 1.00 | dt: 153ms | tok/sec: 859,327 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.719286 | lrm: 1.00 | dt: 145ms | tok/sec: 906,120 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.530572 | lrm: 1.00 | dt: 140ms | tok/sec: 933,341 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.352276 | lrm: 1.00 | dt: 138ms | tok/sec: 952,718 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.186539 | lrm: 1.00 | dt: 138ms | tok/sec: 951,531 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.034973 | lrm: 1.00 | dt: 137ms | tok/sec: 956,048 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.895520 | lrm: 1.00 | dt: 139ms | tok/sec: 943,299 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.766621 | lrm: 1.00 | dt: 150ms | tok/sec: 876,282 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.653228 | lrm: 1.00 | dt: 147ms | tok/sec: 888,778 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.551943 | lrm: 1.00 | dt: 142ms | tok/sec: 921,268 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.454469 | lrm: 1.00 | dt: 139ms | tok/sec: 941,586 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.368804 | lrm: 1.00 | dt: 139ms | tok/sec: 942,313 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.290253 | lrm: 1.00 | dt: 139ms | tok/sec: 943,247 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.221493 | lrm: 1.00 | dt: 143ms | tok/sec: 914,184 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.157750 | lrm: 1.00 | dt: 146ms | tok/sec: 897,055 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.098762 | lrm: 1.00 | dt: 146ms | tok/sec: 898,713 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.042618 | lrm: 1.00 | dt: 143ms | tok/sec: 916,618 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.993793 | lrm: 1.00 | dt: 141ms | tok/sec: 930,041 | mfu: 41.8% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.941164 | lrm: 1.00 | dt: 139ms | tok/sec: 941,274 | mfu: 42.3% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.899005 | lrm: 1.00 | dt: 139ms | tok/sec: 940,179 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.862125 | lrm: 1.00 | dt: 142ms | tok/sec: 923,448 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.828437 | lrm: 1.00 | dt: 146ms | tok/sec: 895,115 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.792458 | lrm: 1.00 | dt: 146ms | tok/sec: 900,704 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.759113 | lrm: 1.00 | dt: 142ms | tok/sec: 923,951 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.727918 | lrm: 1.00 | dt: 140ms | tok/sec: 933,086 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.697182 | lrm: 1.00 | dt: 139ms | tok/sec: 942,254 | mfu: 42.3% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.671891 | lrm: 1.00 | dt: 139ms | tok/sec: 945,268 | mfu: 42.4% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.643298 | lrm: 1.00 | dt: 142ms | tok/sec: 924,055 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.616934 | lrm: 1.00 | dt: 145ms | tok/sec: 904,967 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.595490 | lrm: 1.00 | dt: 145ms | tok/sec: 904,269 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.569605 | lrm: 1.00 | dt: 142ms | tok/sec: 921,330 | mfu: 41.4% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.546087 | lrm: 1.00 | dt: 141ms | tok/sec: 932,282 | mfu: 41.9% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.522399 | lrm: 1.00 | dt: 140ms | tok/sec: 937,198 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.499024 | lrm: 1.00 | dt: 139ms | tok/sec: 944,597 | mfu: 42.4% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.477144 | lrm: 1.00 | dt: 142ms | tok/sec: 925,718 | mfu: 41.6% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.458036 | lrm: 1.00 | dt: 145ms | tok/sec: 903,092 | mfu: 40.6% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.434385 | lrm: 1.00 | dt: 142ms | tok/sec: 923,090 | mfu: 41.5% | epoch: 1 | remaining: 295s    
step 00044 (1.6%) | loss: 5.414639 | lrm: 1.00 | dt: 143ms | tok/sec: 915,569 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.397308 | lrm: 1.00 | dt: 140ms | tok/sec: 933,967 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00046 (1.7%) | loss: 5.379921 | lrm: 1.00 | dt: 139ms | tok/sec: 941,166 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 5.359634 | lrm: 1.00 | dt: 140ms | tok/sec: 936,483 | mfu: 42.1% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 5.342595 | lrm: 1.00 | dt: 142ms | tok/sec: 921,988 | mfu: 41.4% | epoch: 1 | remaining: 295s    
step 00049 (1.8%) | loss: 5.324905 | lrm: 1.00 | dt: 142ms | tok/sec: 920,806 | mfu: 41.3% | epoch: 1 | remaining: 294s    
step 00050 (1.8%) | loss: 5.306166 | lrm: 1.00 | dt: 143ms | tok/sec: 917,339 | mfu: 41.2% | epoch: 1 | remaining: 294s    
step 00051 (1.9%) | loss: 5.285861 | lrm: 1.00 | dt: 142ms | tok/sec: 920,147 | mfu: 41.3% | epoch: 1 | remaining: 294s    
step 00052 (1.9%) | loss: 5.264350 | lrm: 1.00 | dt: 140ms | tok/sec: 932,909 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00053 (2.0%) | loss: 5.248075 | lrm: 1.00 | dt: 142ms | tok/sec: 924,529 | mfu: 41.5% | epoch: 1 | remaining: 294s    
step 00054 (2.0%) | loss: 5.229184 | lrm: 1.00 | dt: 139ms | tok/sec: 940,205 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00055 (2.1%) | loss: 5.210341 | lrm: 1.00 | dt: 142ms | tok/sec: 926,135 | mfu: 41.6% | epoch: 1 | remaining: 294s    
step 00056 (2.1%) | loss: 5.192369 | lrm: 1.00 | dt: 143ms | tok/sec: 919,570 | mfu: 41.3% | epoch: 1 | remaining: 293s    
step 00057 (2.2%) | loss: 5.177681 | lrm: 1.00 | dt: 142ms | tok/sec: 920,267 | mfu: 41.3% | epoch: 1 | remaining: 293s    
step 00058 (2.2%) | loss: 5.164259 | lrm: 1.00 | dt: 145ms | tok/sec: 903,356 | mfu: 40.6% | epoch: 1 | remaining: 293s    
step 00059 (2.3%) | loss: 5.144242 | lrm: 1.00 | dt: 141ms | tok/sec: 930,145 | mfu: 41.8% | epoch: 1 | remaining: 293s    
step 00060 (2.3%) | loss: 5.126336 | lrm: 1.00 | dt: 141ms | tok/sec: 928,280 | mfu: 41.7% | epoch: 1 | remaining: 293s    
