Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 9314ms | tok/sec: 56,292 | mfu: 1.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.857530 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,127 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.427239 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,599 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.955799 | lrm: 1.00 | dt: 339ms | tok/sec: 1,544,410 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.550471 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,554 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.225229 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,001 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.973770 | lrm: 1.00 | dt: 334ms | tok/sec: 1,569,569 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.762512 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,040 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.584664 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,522 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.434751 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,905 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.306521 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,272 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.198768 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,968 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.102821 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,987 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.017826 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,265 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.945573 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,198 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.880387 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,513 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.827363 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,573 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.773682 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,861 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.722725 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,331 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.674642 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,260 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.629639 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,276 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.585976 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,502 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.546796 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,227 | mfu: 38.6% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.505348 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,219 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.464939 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,078 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.427507 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,743 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.393560 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,907 | mfu: 38.5% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.359632 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,597 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.326712 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,389 | mfu: 38.6% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.293454 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,770 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.258810 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,481 | mfu: 38.7% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.224440 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,441 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.192662 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,196 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.162569 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,932 | mfu: 38.5% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.126547 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,671 | mfu: 38.6% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.095535 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,248 | mfu: 38.8% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.066084 | lrm: 1.00 | dt: 349ms | tok/sec: 1,503,172 | mfu: 36.3% | epoch: 1 | remaining: 291s    
step 00037 (2.8%) | loss: 5.036084 | lrm: 1.00 | dt: 325ms | tok/sec: 1,610,742 | mfu: 38.9% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.005922 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,654 | mfu: 38.9% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 4.977683 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,487 | mfu: 38.4% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 4.946194 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,767 | mfu: 39.2% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 4.915919 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,965 | mfu: 38.9% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.888041 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,040 | mfu: 38.1% | epoch: 1 | remaining: 289s    
step 00043 (3.5%) | loss: 4.857014 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,585 | mfu: 39.0% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 4.825872 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,929 | mfu: 38.6% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.795317 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,228 | mfu: 38.5% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.765327 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,882 | mfu: 39.0% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.728350 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,784 | mfu: 38.7% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.705659 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,112 | mfu: 38.3% | epoch: 1 | remaining: 288s    
