Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9514ms | tok/sec: 13,777 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180584 | lrm: 1.00 | dt: 133ms | tok/sec: 981,975 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.974597 | lrm: 1.00 | dt: 138ms | tok/sec: 949,934 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.897564 | lrm: 1.00 | dt: 137ms | tok/sec: 955,733 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.625453 | lrm: 1.00 | dt: 136ms | tok/sec: 960,913 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.324004 | lrm: 1.00 | dt: 139ms | tok/sec: 944,175 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.089039 | lrm: 1.00 | dt: 138ms | tok/sec: 950,241 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.878540 | lrm: 1.00 | dt: 156ms | tok/sec: 839,712 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.688465 | lrm: 1.00 | dt: 142ms | tok/sec: 920,421 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.500981 | lrm: 1.00 | dt: 141ms | tok/sec: 932,203 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.322581 | lrm: 1.00 | dt: 137ms | tok/sec: 955,108 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.158130 | lrm: 1.00 | dt: 139ms | tok/sec: 945,899 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.008074 | lrm: 1.00 | dt: 139ms | tok/sec: 943,657 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.870443 | lrm: 1.00 | dt: 140ms | tok/sec: 934,442 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.743362 | lrm: 1.00 | dt: 152ms | tok/sec: 864,357 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.631744 | lrm: 1.00 | dt: 145ms | tok/sec: 906,979 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.531820 | lrm: 1.00 | dt: 140ms | tok/sec: 934,567 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.435177 | lrm: 1.00 | dt: 138ms | tok/sec: 949,350 | mfu: 42.6% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.349561 | lrm: 1.00 | dt: 140ms | tok/sec: 938,867 | mfu: 42.2% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.272327 | lrm: 1.00 | dt: 137ms | tok/sec: 955,087 | mfu: 42.9% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.205597 | lrm: 1.00 | dt: 142ms | tok/sec: 925,390 | mfu: 41.6% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.143654 | lrm: 1.00 | dt: 147ms | tok/sec: 890,711 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.086202 | lrm: 1.00 | dt: 145ms | tok/sec: 902,315 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.031345 | lrm: 1.00 | dt: 143ms | tok/sec: 916,502 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.983847 | lrm: 1.00 | dt: 140ms | tok/sec: 935,358 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.932591 | lrm: 1.00 | dt: 139ms | tok/sec: 942,004 | mfu: 42.3% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.891823 | lrm: 1.00 | dt: 140ms | tok/sec: 934,332 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.855921 | lrm: 1.00 | dt: 142ms | tok/sec: 923,132 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.822795 | lrm: 1.00 | dt: 146ms | tok/sec: 897,128 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.787772 | lrm: 1.00 | dt: 143ms | tok/sec: 914,027 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.755539 | lrm: 1.00 | dt: 142ms | tok/sec: 926,283 | mfu: 41.6% | epoch: 1 | remaining: 297s    
